Date,Building,KWH,Month,DayOfWeek
2023-12-18,Cafeteria,281,12,0
2023-12-19,Cafeteria,362,12,1
2023-12-20,Cafeteria,485,12,2
2023-12-21,Cafeteria,124,12,3
2023-12-22,Cafeteria,418,12,4
2023-12-23,Cafeteria,223,12,5
2023-12-24,Cafeteria,442,12,6
2023-12-25,Cafeteria,433,12,0
2023-12-26,Cafeteria,190,12,1
2023-12-27,Cafeteria,320,12,2
2023-12-28,Cafeteria,415,12,3
2023-12-29,Cafeteria,130,12,4
2023-12-30,Cafeteria,328,12,5
2023-12-31,Cafeteria,349,12,6
2023-01-01,Library,432,1,6
2023-01-02,Library,161,1,0
2023-01-03,Library,437,1,1
2023-01-04,Library,426,1,2
2023-01-05,Library,272,1,3
2023-01-06,Library,350,1,4
2023-01-07,Library,402,1,5
2023-01-08,Library,359,1,6
2023-01-09,Library,433,1,0
2023-01-10,Library,260,1,1
2023-01-11,Library,319,1,2
2023-01-12,Library,154,1,3
2023-01-13,Library,219,1,4
2023-01-14,Library,127,1,5
2023-01-15,Library,484,1,6
2023-01-16,Library,219,1,0
2023-01-17,Library,333,1,1
2023-01-18,Library,377,1,2
2023-01-19,Library,464,1,3
2023-01-20,Library,316,1,4
2023-01-21,Library,435,1,5
2023-01-22,Library,241,1,6
2023-01-23,Library,395,1,0
2023-01-24,Library,210,1,1
2023-01-25,Library,128,1,2
2023-01-26,Library,130,1,3
2023-01-27,Library,203,1,4
2023-01-28,Library,437,1,5
2023-01-29,Library,478,1,6
2023-01-30,Library,204,1,0
2023-01-31,Library,451,1,1
2023-02-01,Library,129,2,2
2023-02-02,Library,326,2,3
2023-02-03,Library,354,2,4
2023-02-04,Library,166,2,5
2023-02-05,Library,278,2,6
2023-02-06,Library,101,2,0
2023-02-07,Library,460,2,1
2023-02-08,Library,429,2,2
2023-02-09,Library,405,2,3
2023-02-10,Library,286,2,4
2023-02-11,Library,153,2,5
2023-02-12,Library,439,2,6
2023-02-13,Library,299,2,0
2023-02-14,Library,236,2,1
2023-02-15,Library,122,2,2
2023-02-16,Library,369,2,3
2023-02-17,Library,326,2,4
2023-02-18,Library,108,2,5
2023-02-19,Library,248,2,6
2023-02-20,Library,108,2,0
2023-02-21,Library,346,2,1
2023-02-22,Library,395,2,2
2023-02-23,Library,374,2,3
2023-02-24,Library,275,2,4
2023-02-25,Library,422,2,5
2023-02-26,Library,254,2,6
2023-02-27,Library,478,2,0
2023-02-28,Library,167,2,1
2023-03-01,Library,454,3,2
2023-03-02,Library,287,3,3
2023-03-03,Library,125,3,4
2023-03-04,Library,221,3,5
2023-03-05,Library,462,3,6
2023-03-06,Library,449,3,0
2023-03-07,Library,489,3,1
2023-03-08,Library,427,3,2
2023-03-09,Library,108,3,3
2023-03-10,Library,201,3,4
2023-03-11,Library,213,3,5
2023-03-12,Library,282,3,6
2023-03-13,Library,139,3,0
2023-03-14,Library,376,3,1
2023-03-15,Library,333,3,2
2023-03-16,Library,259,3,3
2023-03-17,Library,127,3,4
2023-03-18,Library,224,3,5
2023-03-19,Library,424,3,6
2023-03-20,Library,449,3,0
2023-03-21,Library,249,3,1
2023-03-22,Library,209,3,2
2023-03-23,Library,479,3,3
2023-03-24,Library,216,3,4
2023-03-25,Library,160,3,5
2023-03-26,Library,355,3,6
2023-03-27,Library,122,3,0
2023-03-28,Library,254,3,1
2023-03-29,Library,261,3,2
2023-03-30,Library,323,3,3
2023-03-31,Library,369,3,4
2023-04-01,Library,384,4,5
2023-04-02,Library,455,4,6
2023-04-03,Library,317,4,0
2023-04-04,Library,299,4,1
2023-04-05,Library,486,4,2
2023-04-06,Library,485,4,3
2023-04-07,Library,334,4,4
2023-04-08,Library,495,4,5
2023-04-09,Library,492,4,6
2023-04-10,Library,182,4,0
2023-04-11,Library,191,4,1
2023-04-12,Library,433,4,2
2023-04-13,Library,402,4,3
2023-04-14,Library,285,4,4
2023-04-15,Library,285,4,5
2023-04-16,Library,122,4,6
2023-04-17,Library,428,4,0
2023-04-18,Library,357,4,1
2023-04-19,Library,146,4,2
2023-04-20,Library,139,4,3
2023-04-21,Library,326,4,4
2023-04-22,Library,230,4,5
2023-04-23,Library,416,4,6
2023-04-24,Library,256,4,0
2023-04-25,Library,237,4,1
2023-04-26,Library,180,4,2
2023-04-27,Library,348,4,3
2023-04-28,Library,324,4,4
2023-04-29,Library,164,4,5
2023-04-30,Library,274,4,6
2023-05-01,Library,428,5,0
2023-05-02,Library,343,5,1
2023-05-03,Library,353,5,2
2023-05-04,Library,209,5,3
2023-05-05,Library,309,5,4
2023-05-06,Library,311,5,5
2023-05-07,Library,429,5,6
2023-05-08,Library,336,5,0
2023-05-09,Library,290,5,1
2023-05-10,Library,190,5,2
2023-05-11,Library,109,5,3
2023-05-12,Library,343,5,4
2023-05-13,Library,198,5,5
2023-05-14,Library,420,5,6
2023-05-15,Library,198,5,0
2023-05-16,Library,386,5,1
2023-05-17,Library,385,5,2
2023-05-18,Library,271,5,3
2023-05-19,Library,140,5,4
2023-05-20,Library,444,5,5
2023-05-21,Library,441,5,6
2023-05-22,Library,312,5,0
2023-05-23,Library,325,5,1
2023-05-24,Library,297,5,2
2023-05-25,Library,171,5,3
2023-05-26,Library,105,5,4
2023-05-27,Library,121,5,5
2023-05-28,Library,408,5,6
2023-05-29,Library,418,5,0
2023-05-30,Library,435,5,1
2023-05-31,Library,457,5,2
2023-06-01,Library,486,6,3
2023-06-02,Library,312,6,4
2023-06-03,Library,184,6,5
2023-06-04,Library,148,6,6
2023-06-05,Library,344,6,0
2023-06-06,Library,295,6,1
2023-06-07,Library,179,6,2
2023-06-08,Library,154,6,3
2023-06-09,Library,107,6,4
2023-06-10,Library,272,6,5
2023-06-11,Library,353,6,6
2023-06-12,Library,359,6,0
2023-06-13,Library,187,6,1
2023-06-14,Library,306,6,2
2023-06-15,Library,101,6,3
2023-06-16,Library,126,6,4
2023-06-17,Library,352,6,5
2023-06-18,Library,497,6,6
2023-06-19,Library,397,6,0
2023-06-20,Library,187,6,1
2023-06-21,Library,404,6,2
2023-06-22,Library,458,6,3
2023-06-23,Library,413,6,4
2023-06-24,Library,195,6,5
2023-06-25,Library,261,6,6
2023-06-26,Library,326,6,0
2023-06-27,Library,222,6,1
2023-06-28,Library,298,6,2
2023-06-29,Library,231,6,3
2023-06-30,Library,116,6,4
2023-07-01,Library,194,7,5
2023-07-02,Library,384,7,6
2023-07-03,Library,378,7,0
2023-07-04,Library,272,7,1
2023-07-05,Library,154,7,2
2023-07-06,Library,118,7,3
2023-07-07,Library,226,7,4
2023-07-08,Library,428,7,5
2023-07-09,Library,189,7,6
2023-07-10,Library,402,7,0
2023-07-11,Library,301,7,1
2023-07-12,Library,184,7,2
2023-07-13,Library,170,7,3
2023-07-14,Library,443,7,4
2023-07-15,Library,203,7,5
2023-07-16,Library,250,7,6
2023-07-17,Library,251,7,0
2023-07-18,Library,289,7,1
2023-07-19,Library,472,7,2
2023-07-20,Library,424,7,3
2023-07-21,Library,109,7,4
2023-07-22,Library,404,7,5
2023-07-23,Library,485,7,6
2023-07-24,Library,342,7,0
2023-07-25,Library,443,7,1
2023-07-26,Library,173,7,2
2023-07-27,Library,122,7,3
2023-07-28,Library,447,7,4
2023-07-29,Library,133,7,5
2023-07-30,Library,454,7,6
2023-07-31,Library,317,7,0
2023-08-01,Library,224,8,1
2023-08-02,Library,350,8,2
2023-08-03,Library,248,8,3
2023-08-04,Library,107,8,4
2023-08-05,Library,422,8,5
2023-08-06,Library,358,8,6
2023-08-07,Library,334,8,0
2023-08-08,Library,197,8,1
2023-08-09,Library,451,8,2
2023-08-10,Library,468,8,3
2023-08-11,Library,147,8,4
2023-08-12,Library,201,8,5
2023-08-13,Library,148,8,6
2023-08-14,Library,472,8,0
2023-08-15,Library,361,8,1
2023-08-16,Library,371,8,2
2023-08-17,Library,245,8,3
2023-08-18,Library,376,8,4
2023-08-19,Library,345,8,5
2023-08-20,Library,251,8,6
2023-08-21,Library,316,8,0
2023-08-22,Library,268,8,1
2023-08-23,Library,367,8,2
2023-08-24,Library,224,8,3
2023-08-25,Library,298,8,4
2023-08-26,Library,318,8,5
2023-08-27,Library,415,8,6
2023-08-28,Library,169,8,0
2023-08-29,Library,366,8,1
2023-08-30,Library,188,8,2
2023-08-31,Library,414,8,3
2023-09-01,Library,290,9,4
2023-09-02,Library,327,9,5
2023-09-03,Library,251,9,6
2023-09-04,Library,156,9,0
2023-09-05,Library,162,9,1
2023-09-06,Library,102,9,2
2023-09-07,Library,463,9,3
2023-09-08,Library,164,9,4
2023-09-09,Library,161,9,5
2023-09-10,Library,339,9,6
2023-09-11,Library,377,9,0
2023-09-12,Library,363,9,1
2023-09-13,Library,223,9,2
2023-09-14,Library,151,9,3
2023-09-15,Library,165,9,4
2023-09-16,Library,499,9,5
2023-09-17,Library,142,9,6
2023-09-18,Library,307,9,0
2023-09-19,Library,418,9,1
2023-09-20,Library,433,9,2
2023-09-21,Library,297,9,3
2023-09-22,Library,107,9,4
2023-09-23,Library,212,9,5
2023-09-24,Library,107,9,6
2023-09-25,Library,214,9,0
2023-09-26,Library,281,9,1
2023-09-27,Library,102,9,2
2023-09-28,Library,373,9,3
2023-09-29,Library,338,9,4
2023-09-30,Library,120,9,5
2023-10-01,Library,218,10,6
2023-10-02,Library,206,10,0
2023-10-03,Library,350,10,1
2023-10-04,Library,150,10,2
2023-10-05,Library,125,10,3
2023-10-06,Library,415,10,4
2023-10-07,Library,452,10,5
2023-10-08,Library,283,10,6
2023-10-09,Library,491,10,0
2023-10-10,Library,388,10,1
2023-10-11,Library,241,10,2
2023-10-12,Library,242,10,3
2023-10-13,Library,107,10,4
2023-10-14,Library,355,10,5
2023-10-15,Library,403,10,6
2023-10-16,Library,150,10,0
2023-10-17,Library,275,10,1
2023-10-18,Library,493,10,2
2023-10-19,Library,250,10,3
2023-10-20,Library,346,10,4
2023-10-21,Library,158,10,5
2023-10-22,Library,137,10,6
2023-10-23,Library,419,10,0
2023-10-24,Library,354,10,1
2023-10-25,Library,324,10,2
2023-10-26,Library,108,10,3
2023-10-27,Library,177,10,4
2023-10-28,Library,489,10,5
2023-10-29,Library,407,10,6
2023-10-30,Library,338,10,0
2023-10-31,Library,220,10,1
2023-11-01,Library,346,11,2
2023-11-02,Library,415,11,3
2023-11-03,Library,247,11,4
2023-11-04,Library,488,11,5
2023-11-05,Library,439,11,6
2023-11-06,Library,371,11,0
2023-11-07,Library,336,11,1
2023-11-08,Library,249,11,2
2023-11-09,Library,198,11,3
2023-11-10,Library,157,11,4
2023-11-11,Library,188,11,5
2023-11-12,Library,303,11,6
2023-11-13,Library,279,11,0
2023-11-14,Library,182,11,1
2023-11-15,Library,238,11,2
2023-11-16,Library,207,11,3
2023-11-17,Library,137,11,4
2023-11-18,Library,357,11,5
2023-11-19,Library,448,11,6
2023-11-20,Library,466,11,0
2023-11-21,Library,443,11,1
2023-11-22,Library,292,11,2
2023-11-23,Library,453,11,3
2023-11-24,Library,276,11,4
2023-11-25,Library,196,11,5
2023-11-26,Library,296,11,6
2023-11-27,Library,388,11,0
2023-11-28,Library,202,11,1
2023-11-29,Library,366,11,2
2023-11-30,Library,413,11,3
2023-12-01,Library,198,12,4
2023-12-02,Library,353,12,5
2023-12-03,Library,155,12,6
2023-12-04,Library,291,12,0
2023-12-05,Library,441,12,1
2023-12-06,Library,151,12,2
2023-12-07,Library,382,12,3
2023-12-08,Library,467,12,4
2023-12-09,Library,162,12,5
2023-12-10,Library,269,12,6
2023-12-11,Library,308,12,0
2023-12-12,Library,208,12,1
2023-12-13,Library,375,12,2
2023-12-14,Library,192,12,3
2023-12-15,Library,457,12,4
2023-12-16,Library,211,12,5
2023-12-17,Library,135,12,6
2023-12-18,Library,266,12,0
2023-12-19,Library,299,12,1
2023-12-20,Library,478,12,2
2023-12-21,Library,194,12,3
2023-12-22,Library,370,12,4
2023-12-23,Library,165,12,5
2023-12-24,Library,157,12,6
2023-12-25,Library,136,12,0
2023-12-26,Library,164,12,1
2023-12-27,Library,135,12,2
2023-12-28,Library,149,12,3
2023-12-29,Library,452,12,4
2023-12-30,Library,112,12,5
2023-12-31,Library,147,12,6
